                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6306,                 2.3955,                 1.6329,                   0.73,                0.72269,                0.76535,                0.40607,                 1.6139,                  1.963,                 1.5676,             0.00066377,             0.00066377,             0.00066377
                      2,                 1.6203,                 1.6716,                 1.6065,                0.69486,                0.66018,                0.72818,                0.39782,                 1.4362,                 1.5687,                 1.4933,              0.0011987,              0.0011987,              0.0011987
                      3,                 1.5893,                 1.4074,                 1.5928,                0.68585,                 0.6513,                0.72304,                0.40099,                 1.5521,                 1.5548,                 1.5492,              0.0016017,              0.0016017,              0.0016017
                      4,                 1.5305,                 1.2814,                  1.549,                0.80766,                0.74103,                0.81335,                0.46712,                 1.4437,                 1.1365,                 1.4636,               0.001406,               0.001406,               0.001406
                      5,                 1.4772,                 1.1711,                 1.5004,                0.80813,                0.77868,                0.82761,                0.47105,                 1.4644,                 1.1868,                 1.4661,               0.001406,               0.001406,               0.001406
                      6,                 1.4061,                 1.0886,                 1.4577,                0.86455,                0.83193,                0.89947,                0.54084,                 1.3325,                0.91893,                 1.3822,               0.001208,               0.001208,               0.001208
                      7,                 1.3522,                0.99153,                 1.4064,                0.86419,                0.81933,                0.88504,                0.56872,                 1.1985,                0.86913,                  1.315,                0.00101,                0.00101,                0.00101
                      8,                 1.2773,                0.90526,                 1.3625,                0.87621,                0.79832,                0.89906,                0.58054,                  1.227,                0.82357,                 1.3198,               0.000812,               0.000812,               0.000812
                      9,                 1.2122,                0.84545,                  1.307,                0.91359,                0.82773,                0.92246,                0.60338,                 1.1579,                0.76258,                 1.2546,               0.000614,               0.000614,               0.000614
                     10,                 1.1641,                 0.7853,                 1.2805,                0.89393,                0.85714,                0.91907,                0.60334,                 1.0827,                0.73055,                 1.2157,               0.000416,               0.000416,               0.000416
